Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C40H66,107974582.9,0.000100798,-0.100797984,-0.184437236
C41H68,77045641.8,3.0705E-05,0.030704995,0.054778298
C42H70,66599317.28,4.48534E-06,0.004485338,0.007806729
C43H72,55782336.06,0.00012015,-0.120149942,-0.204141034
C44H74,50495953.96,0.000151746,-0.151746131,-0.251827757
C45H76,41497682.01,0.000185023,-0.185023051,-0.300072397
C46H78,42318064.16,6.86375E-05,-0.068637467,-0.108842912
C47H80,37708285.28,5.1642E-05,0.051641966,0.080111515
C48H82,32215675.93,0.000215498,0.215497737,0.327185103
C49H84,27406639.59,0.000102898,0.102898385,0.152972969
C50H86,26264074.29,8.66915E-05,0.086691505,0.126248608
C51H88,24389888.73,0.000226018,0.226018079,0.322565656
C52H90,18527001.45,6.30786E-05,-0.063078648,-0.088258391
C53H92,18346495.9,0.000267706,0.267706176,0.367364984
C54H94,14608289.36,0.000137007,0.137007228,0.184462999
C55H96,13623777.58,0.000110103,-0.110103432,-0.145494888
C56H98,13803548.85,0.000180081,-0.180081047,-0.233638805
C57H100,11340422.46,0.000201706,-0.201706211,-0.2570218
C59H104,7433366.879,6.85697E-05,-0.068569745,-0.084360951
C60H106,9404153.032,5.96613E-05,-0.059661281,-0.072156696
C61H108,6940471.017,0.000115934,-0.115933947,-0.137877887
C62H110,7332852.885,0.000248306,0.248305927,0.290463594
C64H114,4187448.114,0.000276275,0.276275442,0.312920974
C65H116,4728942.995,4.68132E-05,0.0468132,0.052193999
C66H118,4802622.359,0.000159309,-0.159309496,-0.174887926
C67H120,3187682.3,0.000262996,-0.262995723,-0.284338451
C68H122,4055205.295,0.000397277,0.397276985,0.423105614
C69H124,3322786.315,0.000411937,0.411936841,0.432266189
C70H126,3317855.186,0.000438012,-0.438012057,-0.452966308
C72H130,4023615.072,0.000354268,0.354268179,0.356042247
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C13H10,5594248.184,2.91026E-05,0.029102629,0.17523444
C14H12,2540634.747,1.16612E-05,0.011661211,0.064750727
C15H14,2594105.568,1.24918E-05,-0.012491762,-0.064354184
C16H16,2005884.39,2.4942E-05,-0.024942,-0.119841326
C17H18,4050666.752,1.79087E-05,-0.017908737,-0.080618837
C18H20,5982445.824,1.86529E-05,-0.018652883,-0.078985261
C19H22,9428414.448,2.50016E-05,-0.025001585,-0.099937523
