Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C44H72,5403850.875,2.84345E-05,0.028434475,0.047346333
C45H74,4141989.698,8.7803E-06,-0.008780303,-0.014286694
C46H76,2882119.417,0.000107264,-0.107264004,-0.170640961
C47H78,4499248.555,2.72183E-05,0.027218254,0.042355766
C48H80,2826879.27,0.000111127,-0.111127001,-0.169239415
C49H82,2274912.129,8.44658E-05,-0.084465752,-0.125947668
C50H84,2307941.9,7.52343E-05,0.075234341,0.10988613
C51H86,2423240.955,6.85473E-06,0.006854726,0.009811066
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C14H10,1963878.816,7.18335E-06,0.007183348,0.040338157
C16H14,2490428.88,1.37763E-05,-0.013776337,-0.066839878
C17H16,4132132.162,7.81937E-06,-0.007819369,-0.03552237
C18H18,5029805.651,5.34099E-06,-0.005340991,-0.022811016
C19H20,6535896.567,3.84846E-06,-0.003848464,-0.015508215
C20H22,7414841.313,2.31972E-07,-0.000231972,-0.000884808
C21H24,10929051.43,1.81647E-05,0.018164663,0.065769246
C22H26,11101826.2,8.21612E-06,0.008216123,0.028311596
C23H28,11120802.03,1.93567E-05,0.019356743,0.063627638
C24H30,13066145.5,8.92677E-06,0.008926771,0.0280509
C25H32,18268733.38,3.05996E-05,0.030599579,0.092097946
C26H34,18142328.31,4.6799E-05,0.046799014,0.135153341
C27H36,19604711.32,1.9629E-05,0.019628951,0.054482231
C28H38,21890468.43,5.14276E-05,0.051427616,0.137397756
C29H40,20198453.21,1.38567E-05,0.013856708,0.035684378
C30H42,18610768.76,4.08979E-05,0.040897878,0.10165291
C31H44,19900521.29,5.4796E-05,0.054796026,0.131612287
C32H46,16292626.85,1.05401E-06,-0.001054013,-0.002449144
C33H48,15853786.72,7.4742E-06,-0.007474204,-0.016819564
C34H50,13758345.05,3.36568E-05,-0.033656777,-0.07342369
C35H52,12163100.08,7.33724E-05,-0.0733724,-0.155316105
C36H54,12150585.5,3.25526E-05,-0.032552576,-0.066922424
C37H56,9171138.625,2.94678E-05,-0.029467815,-0.058884023
C38H58,9135057.284,3.51566E-05,0.035156613,0.068337739
C39H60,8165008.855,3.34576E-05,-0.033457649,-0.063310463
C40H62,7812079.725,6.39375E-06,-0.006393749,-0.011786035
C41H64,8642967.765,9.10243E-06,0.009102431,0.016356546
C42H66,5623067.565,2.52679E-05,0.025267895,0.044289512
C43H68,6287589.131,4.59838E-05,-0.045983792,-0.078667694
C44H70,4840189.689,4.23763E-05,-0.042376327,-0.070798573
C45H72,4987282.098,2.15677E-05,-0.021567673,-0.035208882
C46H74,3951737.135,3.20164E-05,0.032016445,0.051097216
C47H76,2799265.4,1.12796E-05,0.011279629,0.017608058
C48H78,4620997.553,4.67048E-05,-0.046704807,-0.071347492
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C17H14,1845982.646,6.22891E-06,0.006228909,0.028558626
C18H16,5789828.875,8.46663E-06,0.008466625,0.036474391
C19H18,9735263.199,2.62032E-06,0.002620321,0.010645614
C20H20,15601109.79,1.56537E-06,0.001565375,0.00601705
C21H22,17927352.8,1.25799E-05,0.012579939,0.045883358
C22H24,12865916.83,8.4851E-06,0.008485098,0.029442946
C23H26,11737246.66,2.03881E-05,0.02038808,0.067464748
C24H28,11752014.73,1.55255E-05,0.015525537,0.049097405
