Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C57H106,8241462.579,0.000431899,0.431899219,0.546134463
C58H108,7374393.282,0.000297719,-0.297718622,-0.369907975
C59H110,4627456.362,0.000379562,0.37956236,0.463524913
C60H112,5752195.175,0.000494938,0.494937623,0.594250985
C61H114,4528886.405,7.85115E-05,0.078511458,0.09270539
C62H116,4076018.744,8.8444E-05,0.088444004,0.102733433
C63H118,2999436.727,0.000301943,0.301943424,0.345108429
C64H120,3075467.355,0.000156248,-0.156247664,-0.175768713
C65H122,2959290.885,0.000116165,-0.116165006,-0.128649878
C69H130,3076526.907,0.00042459,-0.424589972,-0.442734445
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H14,3854330.273,5.20718E-05,0.052071835,0.329340226
C13H16,4201900.928,6.01153E-05,0.060115283,0.349253236
C14H18,3541588.879,3.74673E-05,0.037467317,0.201284762
C15H20,3189937.228,8.68236E-06,0.008682365,0.04337788
C16H22,4198314.22,1.07566E-05,-0.010756588,-0.050224029
C17H24,5379329.5,1.32892E-05,-0.013289213,-0.058238052
C18H26,6045906.026,9.66691E-06,-0.009666913,-0.039912369
C19H28,7782341.209,1.37675E-05,-0.013767527,-0.053733412
C20H30,7556829.967,3.84123E-05,-0.038412296,-0.142144175
C21H32,9270221.117,4.7023E-05,-0.047022984,-0.165428031
C22H34,11825618.94,6.68791E-05,-0.066879056,-0.224226175
C23H36,16633090.6,1.21304E-05,-0.012130353,-0.038844264
C24H38,23982522.14,1.54635E-05,0.015463514,0.047390867
C25H40,28911004.97,5.0424E-05,-0.050423975,-0.148169406
C26H42,47880209.06,7.75408E-05,0.0775408,0.21883864
C27H44,66676138.53,7.35282E-05,0.073528164,0.199618029
C28H46,73888303.04,0.000106619,0.1066188,0.278844058
C29H48,104962386.4,0.000139893,0.139892597,0.352929385
C30H50,95466368.64,0.000133128,-0.133127615,-0.324391942
C31H52,100629478.3,0.000179158,-0.179158226,-0.422137871
C32H54,130899122,9.01812E-05,0.090181213,0.205694739
C33H56,121321937.1,0.000107121,0.107121007,0.236763842
C34H58,112188308.3,0.000181488,0.181487917,0.389080112
C35H60,114633320.7,0.000170992,0.17099181,0.355884837
C36H62,117761882.9,0.00010869,0.108690456,0.219805298
C37H64,99156034.25,0.000126884,0.12688371,0.249525094
C38H66,99190562.92,0.000138157,0.138156649,0.264406313
C39H68,98178210.93,3.48083E-05,-0.034808349,-0.064876545
C40H70,95612659.35,4.82342E-05,0.048234227,0.087611341
C41H72,69881519.67,8.24304E-05,-0.082430417,-0.146007368
C42H74,67682644.87,5.16432E-05,-0.051643181,-0.089258644
C43H76,64151080.43,0.000124556,0.124555772,0.210187118
C44H78,48966377.6,0.000176703,-0.176703383,-0.291296352
C45H80,46931262.01,1.03249E-05,0.010324884,0.016636241
C46H82,37901852.76,8.81699E-07,0.000881699,0.001389286
C47H84,36558495.02,0.000225062,-0.225062052,-0.346966035
C48H86,32054503.79,9.97955E-05,0.099795532,0.15059545
C49H88,28107295.82,0.000153789,0.153788773,0.227266682
C50H90,25156371.35,0.000150922,-0.15092154,-0.218503853
C51H92,22244534.31,0.000155856,-0.155856312,-0.221160651
